Title	Authors	Pdf	Presentation	Volume_Name	Raw_webtext
Minimum Error Rate Training Semiring	Sokolov, Artem and Yvon, Françcois	http://www.mt-archive.info/10/EAMT-2011-Sokolov.pdf	http://www.mt-archive.info/10/EAMT-2011-Sokolov-ppt.pdf	Research Papers	Minimum Error Rate Training Semiring
Bootstrapping Arabic-Italian SMT through Comparable Texts and Pivot Translation	Cettolo, Mauro and Bertoldi, Nicola and Federico, Marcello	http://www.mt-archive.info/10/EAMT-2011-Cettolo.pdf	http://www.mt-archive.info/10/EAMT-2011-Cettolo-ppt.pdf	Research Papers	Bootstrapping Arabic-Italian SMT through Comparable Texts and Pivot Translation
Bilingual segmentation for phrasetable pruning in Statistical Machine Translation	Sanchis-Trilles, Germán and Ortiz-Martínez, Daniel and González-Rubio, Jesús and González, Jorge	http://www.mt-archive.info/10/EAMT-2011-Sanchis-Trilles.pdf		Research Papers	Bilingual segmentation for phrasetable pruning in Statistical Machine Translation
From Human to Automatic Error Classification for Machine Translation Output	Popović, Maja and Burchardt, Aljoscha	http://www.mt-archive.info/10/EAMT-2011-Popovic.pdf	http://www.mt-archive.info/10/EAMT-2011-Popovic-ppt.pdf	Research Papers	From Human to Automatic Error Classification for Machine Translation Output
Advancements in Arabic-to-English Hierarchical Machine Translation	Huck, Matthias and Vilar, David and Stein, Daniel and Ney, Hermann	http://www.mt-archive.info/10/EAMT-2011-Huck.pdf	http://www.mt-archive.info/10/EAMT-2011-Huck-ppt.pdf	Research Papers	Advancements in Arabic-to-English Hierarchical Machine Translation
CCG Contextual labels in Hierarchical Phrase-Based SMT	Almaghout, Hala and Jiang, Jie and Way, Andy	http://www.mt-archive.info/10/EAMT-2011-Almaghout.pdf	http://www.mt-archive.info/10/EAMT-2011-Almaghout-ppt.pdf	Research Papers	CCG Contextual labels in Hierarchical Phrase-Based SMT
Towards  Using Web-Crawled Data for Domain Adaptation in Statistical Machine Translation	Pecina, Pavel and Toral, Antonio and Way, Andy and Papavassiliou, Vassilis and Prokopidis, Prokopis	http://www.mt-archive.info/10/EAMT-2011-Pecina.pdf		Research Papers	Towards  Using Web-Crawled Data for Domain Adaptation in Statistical Machine
Translation	Pecina, Pavel and Toral, Antonio and Way, Andy and Papavassiliou, Vassilis and Prokopidis, Prokopis	http://www.mt-archive.info/10/EAMT-2011-Pecina.pdf		Research Papers	Translation
Discriminative Weighted Alignment Matrices For Statistical Machine Translation	Tomeh, Nadi and Allauzen, Alexandre and Yvon, François	http://www.mt-archive.info/10/EAMT-2011-Tomeh.pdf	http://www.mt-archive.info/10/EAMT-2011-Tomeh-ppt.pdf	Research Papers	Discriminative Weighted Alignment Matrices For Statistical Machine Translation
Principled Induction of Phrasal Bilexica	Saers, Markus and Wu, Dekai	http://www.mt-archive.info/10/EAMT-2011-Saers.pdf		Research Papers	Principled Induction of Phrasal Bilexica
European Machine Translation Projects
Accurat ATLAS	, Bologna	http://www.mt-archive.info/10/EAMT-2011-ACCURAT.pdf		European Machine Translation Projects	Accurat......................................................................................................................... 323
ATLAS Bologna	, CoSyne	http://www.mt-archive.info/10/EAMT-2011-ATLAS.pdf		European Machine Translation Projects	ATLAS......................................................................................................................     325
Bologna CoSyne	, EASTIN-CL	http://www.mt-archive.info/10/EAMT-2011-BOLOGNA.pdf		European Machine Translation Projects	Bologna......................................................................................................................     327
CoSyne EASTIN-CL	, FAUST	http://www.mt-archive.info/10/EAMT-2011-CoSyne.pdf		European Machine Translation Projects	CoSyne.....................................................................................................................     329
EASTIN-CL FAUST	, iTranslate	http://www.mt-archive.info/10/EAMT-2011-EASTIN.pdf		European Machine Translation Projects	EASTIN-CL...............................................................................................................     331
FAUST iTranslate4	, LetsMT	http://www.mt-archive.info/10/EAMT-2011-FAUST.pdf		European Machine Translation Projects	FAUST......................................................................................................................     333
iTranslate4 LetsMT	, LIWP	http://www.mt-archive.info/10/EAMT-2011-iTranslate4.pdf		European Machine Translation Projects	iTranslate4................................................................................................................    335
LetsMT LIWP	, MOLTO	http://www.mt-archive.info/10/EAMT-2011-LetsMT.pdf		European Machine Translation Projects	LetsMT......................................................................................................................... 337
LIWP MOLTO	, Monnet	http://www.mt-archive.info/10/EAMT-2011-LIWP.pdf		European Machine Translation Projects	LIWP.......................................................................................................................     339
MOLTO Monnet	, MORMED	http://www.mt-archive.info/10/EAMT-2011-MOLTO.pdf		European Machine Translation Projects	MOLTO....................................................................................................................     341
Monnet MORMED	, PaCo-MT	http://www.mt-archive.info/10/EAMT-2011-MONNET.pdf		European Machine Translation Projects	Monnet.....................................................................................................................     343
MORMED PaCo-MT	, PANACEA	http://www.mt-archive.info/10/EAMT-2011-MORMED.pdf		European Machine Translation Projects	MORMED.................................................................................................................... 345
PaCo-MT PANACEA	, PLuTO	http://www.mt-archive.info/10/EAMT-2011-PaCoMT.pdf		European Machine Translation Projects	PaCo-MT...................................................................................................................... 347
PANACEA PLuTO	, PRESEMT	http://www.mt-archive.info/10/EAMT-2011-PANACEA.pdf		European Machine Translation Projects	PANACEA..................................................................................................................... 349
PLuTO PRESEMT	, QUAERO-MSSE	http://www.mt-archive.info/10/EAMT-2011-PLuTO.pdf		European Machine Translation Projects	PLuTO.......................................................................................................................    351
PRESEMT QUAERO-MSSE	, TTC	http://www.mt-archive.info/10/EAMT-2011-PRESEMT.pdf		European Machine Translation Projects	PRESEMT...............................................................................................................     353
QUAERO-MSSE TTC		http://www.mt-archive.info/10/EAMT-2011-QUAERO.pdf		European Machine Translation Projects	QUAERO-MSSE........................................................................................................... 355
TTC		http://www.mt-archive.info/10/EAMT-2011-TTC.pdf		European Machine Translation Projects	TTC............................................................................................................................. 357
Best thesis award
