Title	Authors	Pdf	Presentation	Volume_Name
"Services Canada – Use of MT to translate online job listings"	"Michael Blench"	http://www.mt-archive.info/05/AMTA-2006-JobBank.pdf		"User Track – presentations"
"Real-Time Closed Caption Translation "	"Mary Flanagan"			"User Track – presentations"
"Machine translation and translation memory: a message of reconciliation"	"Jost Zetzsche"	http://www.mt-archive.info/05/AMTA-2006-Zetzsche.pdf		"User Track – presentations"
"Lionbridge – Two case studies using MT in location"	"Rafa Moral"			"User Track – presentations"
"Description of panel"	"Violetta Cavalli-Sforza"	http://www.mt-archive.info/05/AMTA-2006-Cavalli-Sforza-2.pdf		Panels
"Meadan global dialogue"	"Ed Bice"	http://www.mt-archive.info/05/AMTA-2006-Bice.pdf		Panels
"The social impact of online MT"	"Federico Gaspari"	http://www.mt-archive.info/05/AMTA-2006-Gaspari-2.pdf		Panels
"Social impact of MT"	"Jennifer DeCamp"	http://www.mt-archive.info/05/AMTA-2006-DeCamp.pdf		Panels
"MT for social impact"	"Michael McCord"	http://www.mt-archive.info/05/AMTA-2006-McCord.pdf		Panels
"The social impact of translation via SMS"	"Rami B. Safadi"	http://www.mt-archive.info/05/AMTA-2006-Safadi.pdf		Panels
"Description of panel: Hybrid machine translation: why and how?"	"Violetta Cavalli-Sforza and Alon Lavie"	http://www.mt-archive.info/05/AMTA-2006-Cavalli-Sforza-1.pdf		Panels
Introduction		http://www.mt-archive.info/05/AMTA-2006-HybridMT-introd.pdf		Panels
Presentation	"Jaime Carbonell"	http://www.mt-archive.info/05/AMTA-2006-Carbonell-2.pdf		Panels
Presentation	"Nizar Habash"	http://www.mt-archive.info/05/AMTA-2006-Habash-2.pdf		Panels
"Statistical machine translation and hybrid machine translation"	"Philipp Koehn"	http://www.mt-archive.info/05/AMTA-2006-Koehn.pdf		Panels
"Combining interlingua with SMT"	"Stephanie Seneff"	http://www.mt-archive.info/05/AMTA-2006-Seneff-2.pdf		Panels
"First strategies for integrating hybrid approaches into established systems"	"Jean Senellart and John S. White"	http://www.mt-archive.info/05/AMTA-2006-Senellart.pdf		Panels
"A Gentle Introduction to Ontologies"	"Eduard Hovy"	http://www.mt-archive.info/05/AMTA-2006-Hovy.pdf		"Tutorials "
"Tools and Techniques for Translatable Content"	"Mike Dillinger"	http://www.mt-archive.info/05/AMTA-2006-Dillinger.pdf		"Tutorials "
"Arabic Dialect Processing"	"Mona Diab and Nizar Habash"	http://www.mt-archive.info/05/AMTA-2006-Diab.pdf		"Tutorials "
"An Overview of Statistical Machine Translation"	"David Smith and Charles Schafer"	http://www.mt-archive.info/05/AMTA-2006-Smith.pdf		"Tutorials "
"Name Translation"	"Keith Miller and Sherri Condon"	http://www.mt-archive.info/05/AMTA-2006-Condon.pdf		"Tutorials "
"CLAW 2006: 5th International Workshop on Controlled Language Applications"		http://www.mt-archive.info/05/CLAW-2006-TOC.htm		"Post-conference Workshops "
