Title	Authors	Pdf	Presentation	Volume_Name	Raw_webtext
Machine translation systems: E-K, K-E, J-K, K-J	Yu Seop Kim and Sung Dong Kim and Seong Bae Park and Jong Woo Lee and Jeong Ho Chang and Kyu Baek Hwang and Min O Jang and Yung Taek Kim			User studies	Yu Seop Kim, Sung Dong Kim, Seong Bae Park, Jong Woo Lee, Jeong Ho Chang, Kyu Baek Hwang, Min O Jang, and Yung Taek Kim: Machine translation systems: E-K, K-E, J-K, K-J -- pp. 248-251
Author index
Machine translation in practice: from old guard to new guard
The foreign language challenge in the USG and machine translation. [abstract only]	Kathleen Egan	http://www.mt-archive.info/00/AMTA-2000-Egan-Sheng.pdf		Machine translation in practice: from old guard to new guard	Kathleen Egan: The foreign language challenge in the USG and machine translation. [abstract only]
Machine translation, the road ahead	Walter Hartmann	http://www.mt-archive.info/00/AMTA-2000-Hartmann.pdf		Machine translation in practice: from old guard to new guard	Walter Hartmann: Machine translation, the road ahead
Educational implications of a machine translation system	Tatyana Gurina	http://www.mt-archive.info/00/AMTA-2000-Gurina.pdf		Machine translation in practice: from old guard to new guard	Tatyana Gurina: Educational implications of a machine translation system
Use of an MT program in an international organization	Gustavo Silva	http://www.mt-archive.info/00/AMTA-2000-Silva.pdf		Machine translation in practice: from old guard to new guard	Gustavo Silva: Use of an MT program in an international organization
Wired for peace and multi-language communication	Vladimir Oboronko	http://www.mt-archive.info/00/AMTA-2000-Oboronko.pdf		Machine translation in practice: from old guard to new guard	Vladimir Oboronko: Wired for peace and multi-language communication
Automated translation for the deployment of dynamic and mission critical content [abstract only]	Bob Sheng	http://www.mt-archive.info/00/AMTA-2000-Egan-Sheng.pdf		Machine translation in practice: from old guard to new guard	Bob Sheng: Automated translation for the deployment of dynamic and mission critical content [abstract only]
What do we need from MT? [no transcript available]	Panel discussion			Machine translation in practice: from old guard to new guard	Panel discussion: What do we need from MT? [no transcript available]
