Title	Authors	Pdf
ANTHEM: advanced natural language interface for multilingual text generation in healthcare (LRE 62-007)	G. Deville and E. Herbigniaux and P. Mousel and G. Thienpont and M. Wéry	http://www.mt-archive.info/90/AMTA-1996-Deville.pdf
Online MT at Compuserve	Mary Flanagan	http://www.mt-archive.info/90/AMTA-1996-Flanagan-2.pdf
ITSVOX	Eric Wehrli	http://www.mt-archive.info/90/AMTA-1996-Wehrli.pdf
JANUS: multi-lingual translation of spontaneous speech in limited domain	Alon Lavie and Lori Levin and Alex Waibel and Donna Gates and Marsal Gavalda and Laura Mayfield	http://www.mt-archive.info/90/AMTA-1996-Lavie.pdf
JAPANGLOSS: using statistics to fill knowledge gaps	Kevin Knight and Yaser Al-Onaizan and Ishwar Chander and Eduard Hovy and Irene Langkilde and Richard Whitney and Kenji Yamada	http://www.mt-archive.info/90/AMTA-1996-Knight.pdf
JICST Japanese-English machine translation system	Patricia O'Neill-Brown	http://www.mt-archive.info/90/AMTA-1996-ONeill-Brown.pdf
LEXIUM	John Chandioux and Annette Grimaila	http://www.mt-archive.info/90/AMTA-1996-Chandioux-2.pdf
Logos Intelligent Translation System	Winfield Scott Bennett	http://www.mt-archive.info/90/AMTA-1996-Bennett.pdf
The Pangloss-Lite machine translation system	Robert E. Frederking and Ralf D. Brown	http://www.mt-archive.info/90/AMTA-1996-Frederking.pdf
PARS and PARS/U machine translation systems: English-Russian-English and English-Ukrainian-English	Michael S. Blekhman	http://www.mt-archive.info/90/AMTA-1996-Blekhman.pdf
SYSTRAN Chinese-English MT, ECI Chinese OCR - CHIOCR	Laurie Gerber	http://www.mt-archive.info/90/AMTA-1996-Gerber.pdf
Towards a multilingual analyst's workstation: Temple	Rémi Zajac	http://www.mt-archive.info/90/AMTA-1996-Zajac.pdf
Trados translator's workbench	Mark Berry	http://www.mt-archive.info/90/AMTA-1996-Berry.pdf
Opening Address: Trends in machine translation and the forces that shape them	Muriel Vasconcellos	http://www.mt-archive.info/90/AMTA-1996-Vasconcellos.pdf
PREceedings of the Pre-Workshop on ILs and IL Approaches to MT	Stephen Helmreich and Lori Levin and Yorick Wilks and Robert Belvin and Stalls, Bonnie Glover and Christine Montgomery and Alfredo Arnaiz and John White and Boyan Onyshkevych and David Farwell and Evelyne Viegas and Young-Suk Lee and Clifford Weinstein and Nili Mandelbit and Eduard Hovy and Dorr, Bonnie J. and Michelle Vanni and Rémi Zajac and Kavi Mahesh and Sergei Nirenburg and Voss, Clare R. and Kevin Knight and and Martha Palmer	http://www.mt-archive.info/90/AMTA-1996-WS-IL.pdf
