Title	Authors	Pdf	Presentation
Machine Translation on CompuServe Forums	Mary Flanagan	http://www.mt-archive.info/AMTA-1994-Flanagan-2.pdf	
Power Translator	Tom Knupp	http://www.mt-archive.info/AMTA-1994-Knupp.pdf	
KANT: Knowledge-Based, Accurate Natural Language Translation	Teruko Mitamura and Eric Nyberg and Jaime Carbonell	http://www.mt-archive.info/AMTA-1994-Mitamura.pdf	
The Klingon Machine Translation Project	d'Armond Speers	http://www.mt-archive.info/AMTA-1994-Speers.pdf	
Machine-Aided Voice Translation (MAVT): Advanced Development Model	Christine Montgomery and Bonnie Glover Stalls and Robert Stumberger and Naicong Li and Robert Belvin and Alfredo Arnaiz and Susan Hirsh Litenatsky	http://www.mt-archive.info/AMTA-1994-Montgomery.pdf	
Logos Intelligent Translation System	Winfield Scott Bennett	http://www.mt-archive.info/AMTA-1994-Bennett.pdf	
LogoVista E to J	John Richards	http://www.mt-archive.info/AMTA-1994-Richards.pdf	
PANGLOSS	Jaime Carbonell and David Farwell and Robert Frederking and Steven Helmreich and Eduard Hovy and Kevin Knight and Lori Levin and Sergei Nirenburg	http://www.mt-archive.info/AMTA-1994-Carbonell.pdf	
Commercial PC-Based Machine Translation Software Packages	L. Chris Miller	http://www.mt-archive.info/AMTA-1994-Miller.pdf	
SPANAM(™) and ENGSPAN(™)	Marjorie León and Julia Aymerich	http://www.mt-archive.info/AMTA-1994-Leon.pdf	
SYSTRAN: Demonstration and Company Profile	Stephen Dakis	http://www.mt-archive.info/AMTA-1994-Systran.pdf	
