Space, metaphor and schematization in sign: sign language translation in the ZARDOZ system	Tony Veale and Bróna Collins	http://www.mt-archive.info/90/AMTA-1996-Veale.pdf		Papers	Space, metaphor and schematization in sign: sign language translation in the ZARDOZ system -- Tony Veale and Bróna Collins; pp. 168-179 [PDF, 203KB]
Combing language technolgy and web technology to streamline an automotive hotline support service	Jörg Schütz	http://www.mt-archive.info/90/AMTA-1996-Schutz.pdf		Papers	Combing language technolgy and web technology to streamline an automotive hotline support service -- Jörg Schütz; pp. 180-189 [PDF, 151KB]
Featured Speaker Papers
Two years online: experiences, challenges and trends	Mary Flanagan	http://www.mt-archive.info/90/AMTA-1996-Flanagan-1.pdf		Featured Speaker Papers	Two years online: experiences, challenges and trends -- Mary Flanagan; pp. 192-197 [PDF, 86KB]
The state of machine translation in Europe	John Hutchins	http://www.mt-archive.info/90/AMTA-1996-Hutchins.pdf		Featured Speaker Papers	The state of machine translation in Europe -- John Hutchins; pp. 198-205 [PDF, 105KB]
"""Specialized"" machine translation"	John Chandioux and Annette Grimaila	http://www.mt-archive.info/90/AMTA-1996-Chandioux-1.pdf		Featured Speaker Papers	"""Specialized"" machine translation -- John Chandioux and Annette Grimaila; pp. 206-211 [PDF, 104KB]"
The primacy of core technology MT evaluation	John S.White	http://www.mt-archive.info/90/AMTA-1996-White-2.pdf		Featured Speaker Papers	The primacy of core technology MT evaluation -- John S.White; pp. 212-218 [PDF, 123KB]
Panel Statements
System Demonstrations
ANTHEM:advanced natural language interface for multilingual text generation in healthcare (LRE 62-007)	G.Deville and E.Herbigniaux and P.Mousel and G.Thienpont and M.Wéry	http://www.mt-archive.info/90/AMTA-1996-Deville.pdf		System Demonstrations	ANTHEM:advanced natural language interface for multilingual text generation in healthcare (LRE 62-007) -- G.Deville, E.Herbigniaux, P.Mousel, G.Thienpont and M.Wéry; pp. 240-243 [PDF, 86KB]
Online MT at Compuserve	Mary Flanagan	http://www.mt-archive.info/90/AMTA-1996-Flanagan-2.pdf		System Demonstrations	Online MT at Compuserve -- Mary Flanagan; pp. 244-246 [PDF, 69KB]
ITSVOX	Eric Wehrli	http://www.mt-archive.info/90/AMTA-1996-Wehrli.pdf		System Demonstrations	ITSVOX -- Eric Wehrli; pp. 247-251 [PDF, 116KB]
JANUS: multi-lingual translation of spontaneous speech in limited domain	Alon Lavie and Lori Levin and Alex Waibel and Donna Gates and Marsal Gavalda and Laura Mayfield	http://www.mt-archive.info/90/AMTA-1996-Lavie.pdf		System Demonstrations	JANUS: multi-lingual translation of spontaneous speech in limited domain -- Alon Lavie, Lori Levin, Alex Waibel, Donna Gates, Marsal Gavalda, and Laura Mayfield; pp. 252-255 [PDF, 144KB]
JAPANGLOSS: using statistics to fill knowledge gaps	Kevin Knight and Yaser Al-Onaizan and Ishwar Chander and Eduard Hovy and Irene Langkilde and Richard Whitney and Kenji Yamada	http://www.mt-archive.info/90/AMTA-1996-Knight.pdf		System Demonstrations	JAPANGLOSS: using statistics to fill knowledge gaps -- Kevin Knight, Yaser Al-Onaizan, Ishwar Chander, Eduard Hovy, Irene Langkilde, Richard Whitney, and Kenji Yamada; pp. 256 [PDF, 81KB]
JICST Japanese-English machine translation system	Patricia O'Neill-Brown	http://www.mt-archive.info/90/AMTA-1996-ONeill-Brown.pdf		System Demonstrations	JICST Japanese-English machine translation system -- Patricia O'Neill-Brown; pp. 257-260 [PDF, 119KB] 
LEXIUM	John Chandioux and Annette Grimaila	http://www.mt-archive.info/90/AMTA-1996-Chandioux-2.pdf		System Demonstrations	LEXIUM -- John Chandioux and Annette Grimaila; pp. 261-263 [PDF, 65KB]
Logos Intelligent Translation System	Winfield Scott Bennett	http://www.mt-archive.info/90/AMTA-1996-Bennett.pdf		System Demonstrations	Logos Intelligent Translation System -- Winfield Scott Bennett; pp. 264-267 [PDF, 93KB]
The Pangloss-Lite machine translation system	Robert E. Frederking and Ralf D. Brown	http://www.mt-archive.info/90/AMTA-1996-Frederking.pdf		System Demonstrations	The Pangloss-Lite machine translation system -- Robert E. Frederking and Ralf D. Brown; pp. 268-272 [PDF, 116KB]
PARS and PARS/U machine translation systems: English-Russian-English and English-Ukrainian-English	Michael S. Blekhman	http://www.mt-archive.info/90/AMTA-1996-Blekhman.pdf		System Demonstrations	PARS and PARS/U machine translation systems: English-Russian-English and English-Ukrainian-English -- Michael S. Blekhman; pp. 273-276 [PDF, 82KB]
SYSTRAN Chinese-English MT, ECI Chinese OCR - CHIOCR	Laurie Gerber	http://www.mt-archive.info/90/AMTA-1996-Gerber.pdf		System Demonstrations	SYSTRAN Chinese-English MT, ECI Chinese OCR - CHIOCR -- Laurie Gerber; pp. 277-279 [PDF, 70KB]
Towards a multilingual analyst's workstation: Temple	Rémi Zajac	http://www.mt-archive.info/90/AMTA-1996-Zajac.pdf		System Demonstrations	Towards a multilingual analyst's workstation: Temple -- Rémi Zajac; pp. 280-284 [PDF, 183KB]
Trados translator's workbench	Mark Berry	http://www.mt-archive.info/90/AMTA-1996-Berry.pdf		System Demonstrations	Trados translator's workbench -- Mark Berry; pp. 285-289 [PDF, 188KB]
Other presentations
