Title	Authors	Pdf	Presentation	Volume_Name
Protocol and lessons learnt from the production of parallel corpora for the evaluation of speech translation systems	Victoria Arranz and Olivier Hamon and Karim Boudahmane and Martine Garnier-Rizet	http://www.mt-archive.info/10/IWSLT-2011-Arranz.pdf		
Fill-up versus interpolation methods for phrase-based SMT adaptation	Arianna Bisazza and Nick Ruiz and Marcello Federico	http://www.mt-archive.info/10/IWSLT-2011-Bisazza.pdf		
Semantic smoothing and fabrication of phrase pairs for SMT	Boxing Chen and Roland Kuhn and George Foster	http://www.mt-archive.info/10/IWSLT-2011-Chen.pdf		
SCFG latent annotation for machine translation	Tagyoung Chung and Licheng Fang and Daniel Gildea	http://www.mt-archive.info/10/IWSLT-2011-Chung.pdf		
Long-distance hierarchical structure transformation rules utilizing function words	Chenchen Ding and Takashi Inui and Mikio Yamamoto	http://www.mt-archive.info/10/IWSLT-2011-Ding.pdf		
Investigation of the effects of ASR tuning on speech translation performance	Paul R.Dixon and Andrew Finch and Chiori Hori and Hideki Kashioka	http://www.mt-archive.info/10/IWSLT-2011-Dixon.pdf		
Extending a probabilistic phrase alignment approach for SMT	Mridul Gupta and Sanjika Hewavitharana and Stephan Vogel	http://www.mt-archive.info/10/IWSLT-2011-Gupta.pdf		
Left language model state for syntactic machine translation	Kenneth Heafield and Hieu Hoang and Philipp Koehn and Tetsuo Kiso and Marcello Federico	http://www.mt-archive.info/10/IWSLT-2011-Heafield.pdf		
Lexicon models for hierarchical phrase-based machine translation	Matthias Huck and Saab Mansour and Simon Wiesler and Hermann Ney	http://www.mt-archive.info/10/IWSLT-2011-Huck.pdf		
The 2011 KIT QUAERO speech-to-text system for Spanish	Kevin Kilgour and Christian Saam and Christian Mohr and Sebastian Stüker and Alex Waibel	http://www.mt-archive.info/10/IWSLT-2011-Kilgour.pdf		
Named entity translation using anchor texts	Wang Ling and Pável Calado and Bruno Martins and Isabel Trancoso and Alan Black and Luísa Coheur	http://www.mt-archive.info/10/IWSLT-2011-Ling.pdf		
Unsupervised vocabulary selection for simultaneous lecture translation	Paul Maergner and Kevin Kilgour and Ian Lane and Alex Waibel	http://www.mt-archive.info/10/IWSLT-2011-Maergner.pdf		
Combining translation and language model scoring for domain-specific data filtering	Saab Mansour and Joern Wuebker and Hermann Ney	http://www.mt-archive.info/10/IWSLT-2011-Mansour.pdf		
Using Wikipedia to translate domain-specific terms in SMT	Jan Niehues and Alex Waibel	http://www.mt-archive.info/10/IWSLT-2011-Niehues.pdf		
Modeling punctuation prediction as machine translation	Stephan Peitz and Markus Freitag and Arne Mauser and Hermann Ney	http://www.mt-archive.info/10/IWSLT-2011-Peitz.pdf		
Soft string-to-dependency hierarchical machine translation	Jan-Thorsten Peter and Matthias Huck and Hermann Ney and Daniel Stein	http://www.mt-archive.info/10/IWSLT-2011-Peter.pdf		
Speaker alignment in synthesised, machine translation communication	Anne H.Schneider and Saturnino Luz	http://www.mt-archive.info/10/IWSLT-2011-Schneider.pdf		
How good are your phrases? Assessing phrase quality with single class classification	Nadi Tomeh and Marco Turchi and Guillaume Wisinewski and Alexandre Allauzen and François Yvon	http://www.mt-archive.info/10/IWSLT-2011-Tomeh.pdf		
Annotating data selection for improving machine translation	Keiji Yasuda and Hideo Okuma and Masao Utiyama and Eiichiro Sumita	http://www.mt-archive.info/10/IWSLT-2011-Yasuda.pdf		
