Title	Authors	Pdf	Raw webtext
Symmetric probabilistic alignment for example-based translation	Kim, Jae Dong and Brown, Ralf D. and Jansen, Peter J. and G., Jaime and , Symmetric	http://www.mt-archive.info/05/EAMT-2005-Kim.pdf	Jae Dong Kim, Ralf D. Brown, Peter J. Jansen, and Jaime G.Carbonell: Symmetric probabilistic alignment forexample-based translation [PDF, 63KB]
An experiment in MT post-editing by a class of intermediate/advanced French majors	Kliffer, Michael	http://www.mt-archive.info/05/EAMT-2005-Kliffer.pdf	Michael Kliffer: Anexperiment in MT post-editing by a class of intermediate/advanced French majors[PDF, 43KB]
From the real world to real words: the METEO case	Langlais, Philippe and Leplus, Thomas and Gandrabur, Simona and , METEO	http://www.mt-archive.info/05/EAMT-2005-Langlais.pdf	Philippe Langlais, Thomas Leplus, Simona Gandrabur, and GuyLapalme: From the real world to real words: the METEO case [PDF, 102KB]
The MT developer/provider and the global corporation	Lewis, Terence and M.Meier, Rudolf	http://www.mt-archive.info/05/EAMT-2005-Lewis.pdf	Terence Lewis and Rudolf M.Meier: The MT developer/provider and the global corporation[PDF, 45KB]
Efficient statistical machine translation with constrained reordering	Matusov, Evgeny and Kanthak, Stephan and Ney, Hermann	http://www.mt-archive.info/05/EAMT-2005-Matusov.pdf	Evgeny Matusov, Stephan Kanthak, and Hermann Ney: Efficient statistical machine translation withconstrained reordering [PDF, 110KB]
TransBooster: boosting the performance of wide-coverage machine translation systems	Khasin, Anna and Van Genabith, Josef and Way, Andy	http://www.mt-archive.info/05/EAMT-2005-Mellebeek.pdf	Bart Mellebeek, Anna Khasin, Josef Van Genabith, and Andy Way: TransBooster: boosting the performance ofwide-coverage machine translation systems [PDF, 65KB]
Holistic regression testing for high-quality MT: some methodological and technological reflections	Flickinger, Dan and Lønning, Jan Tore and Meurer, Paul and , Victoria and , Rosén	http://www.mt-archive.info/05/EAMT-2005-Oepen.pdf	StephanOepen, Helge Dyvik, Dan Flickinger, Jan Tore Lønning, Paul Meurer, and VictoriaRosén: Holistic regression testing forhigh-quality MT: some methodological and technological reflections [PDF,173KB]
Building a WSD module within an MT system to enable interactive resolution in the user’s source language	Marshall, Ted and Clark, Robert and Mitkov, Ruslan	http://www.mt-archive.info/05/EAMT-2005-Orasan.pdf	ConstantinOrasan, Ted Marshall, Robert Clark, Le An Ha, and Ruslan Mitkov: Building a WSD module within an MT system to enableinteractive resolution in the user’s source language [PDF, 67KB]
Exploiting phrasal lexica and additional morpho-syntactic language resources for statistical machine translation with scarce training data	Popovic, Maja and Ney, Hermann	http://www.mt-archive.info/05/EAMT-2005-Popovic.pdf	Maja Popovic and Hermann Ney: Exploitingphrasal lexica and additional morpho-syntactic language resources forstatistical machine translation with scarce training data [PDF, 65KB]
An approach to machine translation via the rule-to-rule hypothesis		http://www.mt-archive.info/05/EAMT-2005-Proszeky.pdf	Gábor Prószéky: An approachto machine translation via the rule-to-rule hypothesis [PDF, 147KB]
Linguistic representation of Finnish in a limited domain speech-to-speech translation system	Santaholma, Marianne	http://www.mt-archive.info/05/EAMT-2005-Santaholma.pdf	Marianne Santaholma: Linguisticrepresentation of Finnish in a limited domain speech-to-speech translationsystem [PDF, 107KB]
Integrating CAT and MT in AnglaBhart-II architecture	Mahesh, R.	http://www.mt-archive.info/05/EAMT-2005-Sinha-1.pdf	R. Mahesh K.Sinha: IntegratingCAT and MT in AnglaBhart-II architecture [PDF, 205KB]
Translation divergence in English-Hindi MT	Mahesh, R. and Thakur, Anil	http://www.mt-archive.info/05/EAMT-2005-Sinha-2.pdf	R. Mahesh K.Sinha and Anil Thakur: Translation divergence in English-Hindi MT[PDF, 93KB]
Lexicon-coding workflow at CLS Communication		http://www.mt-archive.info/05/EAMT-2005-Stadler.pdf	Hans-Udo Stadler: Lexicon-codingworkflow at CLS Communication [PDF, 56KB]
Application of word-level confidence measures in interactive statistical machine translation	Ney, Hermann	http://www.mt-archive.info/05/EAMT-2005-Ueffing.pdf	Nicola Ueffing and Hermann Ney: Application of word-level confidence measures ininteractive statistical machine translation [PDF, 173KB]
: Considerations in maximum mutual information and minimum classification error training for statistical machine translation	Vengupol, Ashish and Vogel, Stephan	http://www.mt-archive.info/05/EAMT-2005-Venugopal.pdf	Ashish Vengupol and Stephan Vogel: Considerations in maximum mutual informationand minimum classification error training for statistical machine translation[PDF, 89KB]
Sentence segmentation using IBM word alignment model 1	Xu, Jia and Zens, Richard and Ney, Hermann	http://www.mt-archive.info/05/EAMT-2005-Xu.pdf	Jia Xu, Richard Zens, and Hermann Ney: Sentence segmentation using IBM word alignment model 1[PDF, 145KB]
Initial considerations in building a speech-to-speech translation system for the Slovenian-English language pair	Žibert, J. and Vintar, Š.	http://www.mt-archive.info/05/EAMT-2005-Zganec-Gros.pdf	J. ŽganecGros, A. Mihelič, M. Žganec, F. Mihelič, S. Dobrišek, J. Žibert, Š. Vintar, T. Korošec, T. Erjavec, and M.Romih: Initial considerations in building aspeech-to-speech translation system for the Slovenian-English language pair[PDF, 531KB]
An efficient phrase-to-phrase alignment model for arbitrarily long phrase and large corpora	Zhang, Ying and Vogel, Stephan	http://www.mt-archive.info/05/EAMT-2005-Zhang.pdf	Ying Zhang and Stephan Vogel: Anefficient phrase-to-phrase alignment model for arbitrarily long phrase andlarge corpora [PDF, 187KB]
MT News International  no. 35		http://www.mt-archive.info/05/MTNI-35.pdf	[Conferencereport in MT News International  no. 35, March 2005]
