Title	Authors	Pdf	Pagenumbers
Assumptions, expectations and outliers in post-editing	Casanellas, Laura and Marg, Lena	http://www.mt-archive.info/10/EAMT-2014-Casanellas.pdf	93--97
Document-level translation quality estimation: exploring discourse and pseudo-references	Scarton, Carolina and Specia, Lucia	http://www.mt-archive.info/10/EAMT-2014-Scarton.pdf	101--108
Quality estimation for translation selection	Shah, Kahif and Specia, Lucia	http://www.mt-archive.info/10/EAMT-2014-Shah.pdf	109--116
An efficient two-pass decoder for SMT using word confidence estimation	Luong, Ngoc-Quang and Besacier, Laurent and Lecouteux, Benjamin	http://www.mt-archive.info/10/EAMT-2014-Luong.pdf	117--124
HBB4ALL: media accessibility for HBB TV		http://www.mt-archive.info/10/EAMT-2014-HBB4.pdf	127
ALST: linguistic and sensorial accessibility: technologies for voice-over and audio description		http://www.mt-archive.info/10/EAMT-2014-ALST.pdf	128
QTLeap: quality translation with deep language engineering approaches		http://www.mt-archive.info/10/EAMT-2014-QTleap.pdf	129
The ASMAT project – Arabic social media analysis tools		http://www.mt-archive.info/10/EAMT-2014-Sadat.pdf	130
XLike: cross-lingual knowledge extraction		http://www.mt-archive.info/10/EAMT-2014-XLike.pdf	131
Abu-MaTran: automatic building of machine translation		http://www.mt-archive.info/10/EAMT-2014-AbuMaTran.pdf	132
QTLaunchPad: preparation and launch of a large-scale action for quality translation technology		http://www.mt-archive.info/10/EAMT-2014-QTLaunchPad.pdf	133
Able-to-Include: Improving accessibility for people with intellectual disabilities		http://www.mt-archive.info/10/EAMT-2014-Able-to-Include.pdf	134
SCATE: Smart Computer Aided Translation Environment		http://www.mt-archive.info/10/EAMT-2014-SCATE.pdf	135
Kanjingo – a mobile app for post-editing	O’Brien, Sharon and Moorkens, Joss and Vreeke, Joris	http://www.mt-archive.info/10/EAMT-2014-OBrien.pdf	137--141
Standard language variety conversion for content localisation via SMT	Fancellu, Federico and Way, Andy and O’Brien, Morgan	http://www.mt-archive.info/10/EAMT-2014-Fancellu.pdf	143--149
Collaborative web UI localization, or how to build feature-rich multilingual datasets	Alabau, Vicent and A.Leiva, Luis	http://www.mt-archive.info/10/EAMT-2014-Alabau.pdf	151--154
Using the ACCEPT framework to conduct an online community-based translation evaluation study	Mitchell, Linda and Roturier, Johann and Silva, David	http://www.mt-archive.info/10/EAMT-2014-Mitchell.pdf	155--158
Handling technical OOVs in SMT	Fishel, Mark and Sennrich, Rico	http://www.mt-archive.info/10/EAMT-2014-Fishel.pdf	159--162
Using a new analytic measure for the annotation and analysis of MT errors on real data	Lommel, Arle and Burchardt, Aljoscha and Popović, Maja and Harris, Kim and Avramidis, Eleftherios and Uszkoreit, Hans	http://www.mt-archive.info/10/EAMT-2014-Lommel.pdf	165--172
Complexity of spoken versus written language for machine translation	Ruiz, Nicholas and Federico, Marcello	http://www.mt-archive.info/10/EAMT-2014-Ruiz.pdf	173--180
Does post-editing increase usability? A study with Brazilian Portuguese as target language	Castilho, Sheila and O’Brien, Sharon and Alves, Fabio and O’Brien, Morgan	http://www.mt-archive.info/10/EAMT-2014-Castilho.pdf	183--190
Relations between different types of post-editing operations, cognitive effort and temporal effort	Popović, Maja and Lommel, Arle and Burchardt, Aljoscha and Avramidis, Eleftherios and Uszkoreit, Hans	http://www.mt-archive.info/10/EAMT-2014-Popovic.pdf	191--198
Approaching machine translation from translation studies – a perspective on commonalities, potentials, differences	Čulo, Oliver	http://www.mt-archive.info/10/EAMT-2014-Culo.pdf	199-206
Application of machine translation in localization into low-resourced languages	Skadiņš, Raivis and Pinnis, Mārcis and Vasiļjevs, Andrejs and Skadiņa, Inguna and Hudik, Tomas	http://www.mt-archive.info/10/EAMT-2014-Skadins.pdf	209--216
SMT of German patents at WIPO: decompounding and verb structure pre-reordering	Junczys-Dowmunt, Marcin and Pouliquen, Bruno	http://www.mt-archive.info/10/EAMT-2014-Junczyns-Dowmunt.pdf	217--220
Extrinsic evaluation of web-crawlers in machine translation: a study on Croatian-English for the tourism domain	Toral, Antonio and Rubino, Raphael and Esplà-Gomis, Miquel and Pirinen, Tommi and Way, Andy and Ramírez-Sánchez, Gema	http://www.mt-archive.info/10/EAMT-2014-Toral.pdf	221--224
